Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,Unnamed: 16,Unnamed: 17,Unnamed: 18
1.52475E+18,"Thank you for the recognition, @paralympics IPC. Honoured to receive my PLY certificate! https://t.co/DmG5ZrZqVH",Avani Lekhara अवनी लेखरा PLY,AvaniLekhara,2022-05-12T13:39:20.000Z,Thu May 12 13:39:20 +0000 2022,273,5,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,photo,https://pbs.twimg.com/media/FSj8cedaQAcOUM0.jpg,,,
1.52348E+18,"RT @kiran_kindo : हम माँ पर बेवजह परफेक्ट होने का दबाव कब तक और क्यों डालें??? जरूरी तो नहीं। परफेक्ट नहीं होगी, सभी जिम्मेदारियों को निभाने में असफल माँ भी माँ ही रहेगी। उसका दर्जा कम नहीं होगा। कुछ इसी थीम पर टीम एफर्ट के साथ छपा अखबार। 
@AvaniLekhara @shatabdiavasthi 
#MothersDay https://t.co/qqbe74XWPZ",Avani Lekhara अवनी लेखरा PLY,AvaniLekhara,2022-05-09T01:29:05.000Z,Mon May 09 01:29:05 +0000 2022,0,0,hi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,1,2,photo,https://pbs.twimg.com/media/FSQcL4RaAAAIfER.jpg,,,
1.52223E+18,"RT @sanjeevrajput1 : Always a pleasure to meet you, @AvaniLekhara. May you continue to shine and bring home many more medals for our country. Good luck! https://t.co/SGdiYGlHnS",Avani Lekhara अवनी लेखरा PLY,AvaniLekhara,2022-05-05T15:11:08.000Z,Thu May 05 15:11:08 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,1,photo,https://pbs.twimg.com/media/FR_epztacAAUuvo.jpg,,,
1.52138E+18,#EidMubarak 🌙 https://t.co/s05J6lgtPO,Avani Lekhara अवनी लेखरा PLY,AvaniLekhara,2022-05-03T07:00:49.000Z,Tue May 03 07:00:49 +0000 2022,161,7,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FR0K66LUUAAjuki.jpg,,,
1.51385E+18,"Excited to have started putting my new rifle to use. New equipment, same goals 🎯 https://t.co/U6g9NIzBzE",Avani Lekhara अवनी लेखरा PLY,AvaniLekhara,2022-04-12T12:20:43.000Z,Tue Apr 12 12:20:43 +0000 2022,139,5,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/shekhar371/status/1513749820648787971 ,0,0,,,,,
1.5117E+18,"RT @unesconewdelhi : As we mark the International Day of Sports for Development and Peace, we celebrate Paralympic Gold Medallist Avani Lekhara and the countless others who use sport to define a message of equality &amp; empowerment. 
 #BreakTheBias #FitForLife 

@UNESCO @AvaniLekhara @gabramosp https://t.co/8wNGs1vHb3",Avani Lekhara अवनी लेखरा PLY,AvaniLekhara,2022-04-06T13:47:51.000Z,Wed Apr 06 13:47:51 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,2,3,video,https://video.twimg.com/ext_tw_video/1511621072483131392/pu/vid/320x568/XL44eNivLD7XNeKl.mp4?tag=12,,,
1.51056E+18,Caption this 👀 https://t.co/sNBvHcIjIM,Avani Lekhara अवनी लेखरा PLY,AvaniLekhara,2022-04-03T10:18:28.000Z,Sun Apr 03 10:18:28 +0000 2022,29636,773,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FPaYdrkWYAM0YUf.jpg,,,
1.51023E+18,RT @CNBCTV18News : Congratulations to @AvaniLekhara for winning the Sports Leader of the Year at the 17th India Business Leader Awards.#LeadersOfChange #CNBCTV18IBLA #IBLA @StanChartIN #HindustanTimes,Avani Lekhara अवनी लेखरा PLY,AvaniLekhara,2022-04-02T12:36:32.000Z,Sat Apr 02 12:36:32 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,4,2,,,,,
1.5098E+18,@ShootingPara @BBCNews @Paralympics @ParalympicIndia Thank you 😊,Avani Lekhara अवनी लेखरा PLY,AvaniLekhara,2022-04-01T07:53:53.000Z,Fri Apr 01 07:53:53 +0000 2022,20,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,4,,,,,
1.50904E+18,A very good time interacting with the children during @Media_SAI’s #MeetTheChampions initiative. Sharing glimpses of the time spent. https://t.co/4qkL9AqZAw,Avani Lekhara अवनी लेखरा PLY,AvaniLekhara,2022-03-30T05:20:41.000Z,Wed Mar 30 05:20:41 +0000 2022,962,101,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,1,video,https://video.twimg.com/ext_tw_video/1509037477629411330/pu/vid/480x270/M0GBXxvqDW_WkdNf.mp4?tag=12,,,
