Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,Unnamed: 16,Unnamed: 17,Unnamed: 18
1530895300507799552,@MoharDr Thank you,Abha Khetarpal,Khetarpalabha,2022-05-29T12:54:16.000Z,Sun May 29 12:54:16 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1528972823385227264,@arunachawla_ I would love to be a part of it. How can I reach you?,Abha Khetarpal,Khetarpalabha,2022-05-24T05:35:02.000Z,Tue May 24 05:35:02 +0000 2022,1,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,,,
1527239476971708416,"Respect ties very closely with rights. If someone has their rights taken away, they are not being treated with respect. When we talk of accessibility we, in totality mean #access to our rights!!
#GlobalAccessibilityAwarenessDay @gbla11yday",Abha Khetarpal,Khetarpalabha,2022-05-19T10:47:20.000Z,Thu May 19 10:47:20 +0000 2022,2,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,2,1,,,,,
1526755356793131008,A question to ponder upon!!! https://t.co/2d7pqmt2oa,Abha Khetarpal,Khetarpalabha,2022-05-18T02:43:37.000Z,Wed May 18 02:43:37 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://twitter.com/Jussri/status/1526538598790893569 ,0,0,,,,,
1525712474795716608,@rajivvasudevan @drsitu What our respected PM says &amp; intends cannot be taken for granted. It is us who are being labelled and we are millions. How to address us as a community should be our decision. We want the society to normalize disability' rather that seeing our lives as 'abnormal',Abha Khetarpal,Khetarpalabha,2022-05-15T05:39:35.000Z,Sun May 15 05:39:35 +0000 2022,3,3,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,2,,,,,
1525710494354399232,"@rajivvasudevan @drsitu There are many medical conditions that can't be 'cured' in the conventional sense of the term. We need to incorporate it into our lives. 
What is a 'normal life'? How do we define it? What are the criterion for living a normal life? All we need to do is not to put people in boxes",Abha Khetarpal,Khetarpalabha,2022-05-15T05:31:42.000Z,Sun May 15 05:31:42 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,2,,,,,
1525428652489736192,"RT @DisabilityIndia : Disabled Indians disagree @rajivvasudevan . We campaigned against #ThatDWord imposition since inception. 
Currently we prefer Person with Disability (PwD) or disabled, NOT differently / specially/ differentially abled etc. 

Divyang : PwD :: Harijan : DBA

https://t.co/SWJzqB0JzR https://t.co/ERerquoF3j https://t.co/wpaUVZEiDz",Abha Khetarpal,Khetarpalabha,2022-05-14T10:51:46.000Z,Sat May 14 10:51:46 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://www.facebook.com/DforDisability/posts/242784936095061 https://twitter.com/rajivvasudevan/status/1525304523753160704 ,1,1,photo,https://pbs.twimg.com/media/FSsgnHIUsAAYkFr.jpg,,,
1525428258346799104,"@DisabilityIndia @rajivvasudevan @drsitu @armanaly @Muralid74950521 @Shampa_Sengupta @Deepak_TMN @RajivSpeaks @meenakshibalu @SmithaSadasiva5 @aisrao And more interestingly this 'D' word is even used by scholars in Disability Studies and that too referring it 
 in a plural form 'DIVANGS' :)",Abha Khetarpal,Khetarpalabha,2022-05-14T10:50:12.000Z,Sat May 14 10:50:12 +0000 2022,2,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,11,,,,,
1525427432161157121,We all can relate to this! https://t.co/WhFfR5sTcQ,Abha Khetarpal,Khetarpalabha,2022-05-14T10:46:55.000Z,Sat May 14 10:46:55 +0000 2022,6,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/Ortoleva_S/status/1525405072326262785 ,0,0,,,,,
1524192325794398208,@Jussri :),Abha Khetarpal,Khetarpalabha,2022-05-11T00:59:03.000Z,Wed May 11 00:59:03 +0000 2022,0,0,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1524008417265733633,@shrutipushkarna @saysnidhigoyal Is the staff routinely sensitized? Do journalists getting trained in how to cover disability?,Abha Khetarpal,Khetarpalabha,2022-05-10T12:48:16.000Z,Tue May 10 12:48:16 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,2,,,,,
