Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,Unnamed: 16,Unnamed: 17,Unnamed: 18
1.53122E+18,"RT @chronicnotebook : Chronic illness in five lines

- I finally have a bit of energy
- I overestimated my energy and did too much
- I feel awful
- I'm resting and frustrated
- Oh I have a bit of energy again",Shireen Sultana,LifeisinDNA,2022-05-30T10:27:16.000Z,Mon May 30 10:27:16 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
1.53122E+18,"RT @vinodscaria : A unique online introductory course on #Genomics and its applications in clinical settings.
More details at https://t.co/0B7KHQFcrR
🔁Please share in your networks https://t.co/BYYX5GofAP",Shireen Sultana,LifeisinDNA,2022-05-30T10:13:05.000Z,Mon May 30 10:13:05 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://guardian.genomes.in/events/genomics-for-clinicians ,1,0,photo,https://pbs.twimg.com/media/FT_A6dEVEAA7pzz.png,,,
1.53122E+18,"@vinodscaria @humangenomeorg ID: Know more and register at https://t.co/kKSZ0VxDBf

Genomics for Clinicians

An introductory course for clinicians, nurses, genetic counsellors and medical &amp; nursing students on genomics and genomic applications in clinical medicine

GUARDIAN https://t.co/0UQbjyEj7p",Shireen Sultana,LifeisinDNA,2022-05-30T10:13:01.000Z,Mon May 30 10:13:01 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,https://rb.gy/fiinOg http://guardian.genomes.in ,0,2,,,,,
1.53077E+18,"RT @EDSJess : Is there a collection of patient stories that describe our experience with #EDS, #MCAS, #POTS, etc.?

Well-told stories inspire action, so funding, multidisciplinary EDS centers, and timely treatment options become a reality.

And we learn much from each other!

1/2 🧵",Shireen Sultana,LifeisinDNA,2022-05-29T04:18:22.000Z,Sun May 29 04:18:22 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,3,0,,,,,
1.53076E+18,@indian_hydra I have! 😊,Shireen Sultana,LifeisinDNA,2022-05-29T04:14:55.000Z,Sun May 29 04:14:55 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1.53051E+18,"RT @ProfJimSmith : Many thanks to @_BSDB_ for sponsoring this two-day meeting celebrating the life of Lewis Wolpert, to be held 13-14 Sept 2022, in London and online. We have some terrific speakers, so register now to come to one or both days, in person or online.
https://t.co/C14udL1ipD",Shireen Sultana,LifeisinDNA,2022-05-28T11:14:11.000Z,Sat May 28 11:14:11 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://eventbrite.co.uk/e/in-memory-of-lewis-wolpert-tickets-168940620945 ,0,1,,,,,
1.5302E+18,"RT @Musically_ADHD : Re-tweeting, keep the responses coming!!! #ADHD #adhdtwitter #DisabledinSTEM #academia #AcademicTwitter #research https://t.co/zvgirIfg2k",Shireen Sultana,LifeisinDNA,2022-05-27T15:03:11.000Z,Fri May 27 15:03:11 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://twitter.com/Musically_ADHD/status/1529759836342259715 ,6,0,,,,,
1.5302E+18,RT @ravenscimaven : I wanna know how professionals with ADHD manage long form writing tasks. My dissertation almost killed me. What accommodations have you asked for in your professional life?,Shireen Sultana,LifeisinDNA,2022-05-27T14:37:06.000Z,Fri May 27 14:37:06 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
1.53019E+18,"RT @LittleMurthy : Scholarships for UG and PG girl students interested in Chemistry in Maharashtra by @ClusterPune 

If you know deserving students, pls share @karthickbala @KaushikLab @AdhesionLab @Hari_Chakrapani @csir_ncl 

https://t.co/JVL4P70uE9",Shireen Sultana,LifeisinDNA,2022-05-27T14:27:14.000Z,Fri May 27 14:27:14 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://indianexpress.com/article/cities/pune/pune-knowledge-cluster-to-offer-scholarships-to-help-girl-students-7934515/ ,0,6,,,,,
1.53019E+18,RT @dynamicallydis : Have you been denied remote learning opportunities? Check this out! https://t.co/pvh65PifNx,Shireen Sultana,LifeisinDNA,2022-05-27T14:24:38.000Z,Fri May 27 14:24:38 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://dralegal.org/case/remote-learning-in-higher-education/ ,0,0,,,,,
1.53017E+18,"RT @LSE_Angela : Scientists from an underrepresented group in science (e.g based on gender, ethnicity, race, dependents, sexual orientation, disability, socioeconomic background) can apply for a FREE EDIT from LSEF! Please R/T https://t.co/RvUsOcTDAJ",Shireen Sultana,LifeisinDNA,2022-05-27T13:07:58.000Z,Fri May 27 13:07:58 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://lifescienceeditors.org/apply/ ,0,0,,,,,
1.53016E+18,RT @bethsawin : Alternative title: ten reasons why improving equity is a climate solution. https://t.co/7Byqz1Azof,Shireen Sultana,LifeisinDNA,2022-05-27T12:10:49.000Z,Fri May 27 12:10:49 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://twitter.com/multisolving/status/1529820517066321922 ,0,0,,,,,
1.53015E+18,"It's so so hard to navigate inaccessible places, I wonder when will my needs be kept in mind every time a university is set up. #DisabledInSTEM",Shireen Sultana,LifeisinDNA,2022-05-27T11:18:40.000Z,Fri May 27 11:18:40 +0000 2022,26,6,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,1,0,,,,,
1.52978E+18,"RT @lifeofpippa_ : Put my power-chair in the wheelchair space on the train before transferring to my seat. So far the people in this carriage have 1) leaned on the arm rest and pushed it out of place, 2) put their bag of rubbish on the seat and 3) SAT DOWN in it to let somebody pass.",Shireen Sultana,LifeisinDNA,2022-05-26T10:51:14.000Z,Thu May 26 10:51:14 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
1.5295E+18,"RT @sivashakthia : Hi all, if you know of someone who is unable to afford coaching/ counselling for CSIR-NET/JRF, GATE, JEST/ JAM (Physics), please DM me. I would love to teach them. I can take upto 10 candidates, and guide/teach them online, free of cost. Please RT! Thank you :)",Shireen Sultana,LifeisinDNA,2022-05-25T16:20:36.000Z,Wed May 25 16:20:36 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
1.52917E+18,"RT @jbwallingford : Had a great time doing this, thanks @CurrentBiology!

 https://t.co/1fkAnp5p5D",Shireen Sultana,LifeisinDNA,2022-05-24T18:46:05.000Z,Tue May 24 18:46:05 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://www.cell.com/current-biology/fulltext/S0960-9822(22)00668-6?dgcid=raven_jbs_etoc_email#.Yowu-DEBaqg.twitter ,0,1,,,,,
1.52904E+18,RT @DafoeWhitney : I heard someone outside taking on the phone and laughing today and almost started crying.  Tears came.  Sometimes it just gets to you and you feel everything you’ve lost all at once.,Shireen Sultana,LifeisinDNA,2022-05-24T10:14:43.000Z,Tue May 24 10:14:43 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
1.52869E+18,"RT @SBLitAgent : As of today I ~officially~ have long COVID (as recognized by the CDC), so I wanna take a second to explain what’s happening. To set the stage: I’m 30, I’ve been an athlete my entire life, and I used to be extremely healthy, minus some pesky seasonal allergies. My resting heart 1/",Shireen Sultana,LifeisinDNA,2022-05-23T11:06:09.000Z,Mon May 23 11:06:09 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
