Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,Unnamed: 16,Unnamed: 17,Unnamed: 18
1525854011332919298,Wish you a Very Happy Birthday Madam ji ⁦@abhinandita_m⁩  😍😍 https://t.co/STDT8Wpsb7,Malika Handa🇮🇳🥇,MalikaHanda,2022-05-15T15:01:59.000Z,Sun May 15 15:01:59 +0000 2022,37,3,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,photo,https://pbs.twimg.com/media/FSzsIdsacAAxRIm.jpg,,,
1515753370241273856,"@harbhajan_singh @gujarat_titans @DavidMillerSA12 @rashidkhan_19 Cc: Bhaiya, Please read . @harbhajan_singh https://t.co/UxQgSnWkKZ",Malika Handa🇮🇳🥇,MalikaHanda,2022-04-17T18:05:39.000Z,Sun Apr 17 18:05:39 +0000 2022,12,5,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,https://twitter.com/MalikaHanda/status/1514977351695695880 ,0,5,,,,,
1515217858464485390,"@abhinandita_m Thanks didi .##.waiting for this soon..##
I am the only Indian Deaf Girl To win International gold medal in Deaf Chess
@abhinandita_m @BhagwantMann",Malika Handa🇮🇳🥇,MalikaHanda,2022-04-16T06:37:43.000Z,Sat Apr 16 06:37:43 +0000 2022,51,17,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,3,,,,,
1514977351695695880,Your DM message is off  please send message to me I will send u the contact Bhaiya 🙏🏻 @harbhajan_singh https://t.co/pTvjYMMgNA,Malika Handa🇮🇳🥇,MalikaHanda,2022-04-15T14:42:02.000Z,Fri Apr 15 14:42:02 +0000 2022,465,115,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/harbhajan_singh/status/1514880635298791429 ,0,1,,,,,
1505951036259078144,"Congratulations to @harbhajan_singh bhaiya for being nomimated candidate for Rajyasabha 
My wish i could  meet you in jalandhar ..you supported me very much last months by your valuable tweets..
I have full faith on you 
@AAPPunjab https://t.co/PWDtZOTa2K",Malika Handa🇮🇳🥇,MalikaHanda,2022-03-21T16:54:40.000Z,Mon Mar 21 16:54:40 +0000 2022,602,123,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,2,photo,https://pbs.twimg.com/media/FOY2fGGaAAgY-H-.jpg,,,
1505468281401995267,@Parmjitbnl Thanks 🙏,Malika Handa🇮🇳🥇,MalikaHanda,2022-03-20T08:56:23.000Z,Sun Mar 20 08:56:23 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1505464039945605121,Thank you so much for wishes on my Birthday 🙏😊 https://t.co/sQbmpydQwX,Malika Handa🇮🇳🥇,MalikaHanda,2022-03-20T08:39:31.000Z,Sun Mar 20 08:39:31 +0000 2022,68,4,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://twitter.com/sportsmatik/status/1505446248647884800 ,0,0,,,,,
1505460956633047044,Thanks mom for lovely wishes on my birthday love you https://t.co/diXD5XoFo2,Malika Handa🇮🇳🥇,MalikaHanda,2022-03-20T08:27:16.000Z,Sun Mar 20 08:27:16 +0000 2022,135,4,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://twitter.com/renuhandasweet/status/1505460561810653185 ,0,0,,,,,
1495393733910532097,"Today i have completed my duty
Now its time for comming Government to complete their duties for Deaf players https://t.co/ltxJ6mMFLQ",Malika Handa🇮🇳🥇,MalikaHanda,2022-02-20T13:43:43.000Z,Sun Feb 20 13:43:43 +0000 2022,1645,167,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FMC0rJrVIAwUlxl.jpg,,,
1487124936032686081,@ManMundra Praying manish ji. May mahadev bless him and your family,Malika Handa🇮🇳🥇,MalikaHanda,2022-01-28T18:06:28.000Z,Fri Jan 28 18:06:28 +0000 2022,7,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1485902691859513352,"RT @MalikaHanda : Nobody Given me Job all fake
All fooling me alka lamba mam saying they given me Govt Job
Where is appointment letter??
im free sitting at home
Why they attack mentally on me ?  
My hope loosing from govt
Why i not given Equal Right as normal? @narendramodi @sharmarekha @NCWIndia https://t.co/gCT8QbLdXW",Malika Handa🇮🇳🥇,MalikaHanda,2022-01-25T09:09:43.000Z,Tue Jan 25 09:09:43 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,3,video,https://video.twimg.com/ext_tw_video/1482635788664053766/pu/vid/640x640/ImV6rllYOJr1t8bo.mp4?tag=12,,,
