Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,Unnamed: 16,Unnamed: 17,Unnamed: 18
1529161360508174338,@elonmusk @waitbutwhy You said it.,Dr. Malvika Iyer,MalvikaIyer,2022-05-24T18:04:13.000Z,Tue May 24 18:04:13 +0000 2022,8,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,
1529066610719395841,"RT @neeweeanalytics : “When you accept yourself, you are invincible!” International #motivational speaker &amp; #DisabilityRights activist Dr. Malvika Iyer is a force to reckon with!

Your words will remain etched in our hearts, #inspiring &amp; motivating

Truly #humbled &amp; honored!

More power to you! https://t.co/3p2CsAx3Ig",Dr. Malvika Iyer,MalvikaIyer,2022-05-24T11:47:43.000Z,Tue May 24 11:47:43 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,4,0,photo,https://pbs.twimg.com/media/FTbh2W7VsAEpj4f.png,https://pbs.twimg.com/media/FTbh2W6UsAAvFMr.jpg,https://pbs.twimg.com/media/FTbh2W5UYAIt6OO.jpg,https://pbs.twimg.com/media/FTbh2W5VUAA9TKB.jpg
1525441539803078657,"I’m honored to receive the “Shining Siver Star Award 2022” from @NACJEWELLERS. 🏆⭐️ 

Jewellery and Madras, you have my heart. ♥️💎 https://t.co/W3YVC3XOor",Dr. Malvika Iyer,MalvikaIyer,2022-05-14T11:42:59.000Z,Sat May 14 11:42:59 +0000 2022,843,50,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,photo,https://pbs.twimg.com/media/FSt0_obX0AYqPSj.jpg,,,
1523270539506335744,"#MothersDay is incomplete without wishing his mom, my Amma. She’s the loveliest woman I know! Grateful to her for bringing up the most adorable, supportive, and a dedicated son, my husband. ♥️

#HappyMothersDay 🌸 https://t.co/iVznulJ3pk",Dr. Malvika Iyer,MalvikaIyer,2022-05-08T11:56:12.000Z,Sun May 08 11:56:12 +0000 2022,108,8,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,2,0,photo,https://pbs.twimg.com/media/FSO-ey3WUAEwheP.jpg,,,
1523263941694132226,"I can’t help but feel nostalgic (actually cry) over this brilliant yet simple msg. From teaching me how to accept my disability to making me independent enough that I can take care of my home, cook &amp; have a meaningful career, my mom is #MeriPehliAcademy ♥️
https://t.co/kJUk18pzeH",Dr. Malvika Iyer,MalvikaIyer,2022-05-08T11:29:59.000Z,Sun May 08 11:29:59 +0000 2022,131,104,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,video,https://video.twimg.com/amplify_video/1522093528373133313/vid/1280x720/y07JUEgQZeVu_ryg.mp4?tag=14,,,
1523166833427492865,"I read that a mother is she who can take the place of all others but whose place no one else can take.💕 

So true! My mom is my best friend, my teacher, my manager, my photographer, my stylist, my travel companion, my counselor, and my love. She’s irreplaceable! ♥️ 

#MothersDay https://t.co/jRekVOOYiO",Dr. Malvika Iyer,MalvikaIyer,2022-05-08T05:04:06.000Z,Sun May 08 05:04:06 +0000 2022,569,34,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FSNgKTYXEAA_2GK.jpg,,,
1522907004028731392,"RT @TubeLite10 : ‘The only disability is a bad attitude’ 

यानी की किसी भी व्यक्ति के लिए बुरा रवैया ही उसकी अपंगता होती है.
@MalvikaIyer 

Read her inspiring story here:-
https://t.co/FcY1mpG8L4",Dr. Malvika Iyer,MalvikaIyer,2022-05-07T11:51:38.000Z,Sat May 07 11:51:38 +0000 2022,0,0,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://www.tubelite.co.in/When-there-are-no-hands-how-could-any-opportunity-go-from-my-hands ,0,1,,,,,
1521677047155806209,"Twinning with the ever gorgeous #Trisha𓃵 on her birthday. 

Dearest @trishtrashers, we love a birthday queen, and you do the title justice. Happy birthday! Lots of love to you. *hugs* ♥️💜💖

#HBDSouthQueenTrisha
#SouthQueenTrisha https://t.co/1XnkJkqDmz",Dr. Malvika Iyer,MalvikaIyer,2022-05-04T02:24:14.000Z,Wed May 04 02:24:14 +0000 2022,584,63,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,3,1,photo,https://pbs.twimg.com/media/FR4VNRsXIAEsvrs.jpg,,,
1521472775143268352,Introducing the “romantic” in me for #AkshayTritiya ⚜️⚱️💎🤍⭐️ https://t.co/qcyxdY62Ek,Dr. Malvika Iyer,MalvikaIyer,2022-05-03T12:52:31.000Z,Tue May 03 12:52:31 +0000 2022,228,12,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,video,https://video.twimg.com/ext_tw_video/1521472651390296065/pu/vid/320x568/l8lpV01jNc4BpIT6.mp4?tag=12,,,
1521339879149428736,"I wish you an Eid full of love, laughter, and a bowl of the sweetest sheer khurma. #HappyEid to everyone celebrating. 🌙🕌 
#EidMubarak #EidUlFitr https://t.co/9EuKgi0tHj",Dr. Malvika Iyer,MalvikaIyer,2022-05-03T04:04:26.000Z,Tue May 03 04:04:26 +0000 2022,857,27,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,3,0,photo,https://pbs.twimg.com/media/FRzijo4X0AYqykj.jpg,,,
1520359629800284161,"Thank you Indian School, Muscat for sending across this Certificate of Appreciation for my motivational talk on “Breaking Barriers” at #AVENIR2021. It’s a blessing to inspire young minds. Grateful! ⭐️ https://t.co/HxqQfrBPk4",Dr. Malvika Iyer,MalvikaIyer,2022-04-30T11:09:17.000Z,Sat Apr 30 11:09:17 +0000 2022,331,29,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FRlnBg3XwAAbivI.jpg,https://pbs.twimg.com/media/FRlnBg3XsAEFI8Q.jpg,,
1520016691341795329,"When #PriyankaChopra makes your day! 🤩😍

Remembering the famous quote, “To love oneself is the beginning of a lifelong romance.” Self- care is accepting who you are which adds quality and beauty to your life. 💖

Thank you @priyankachopra for the love.🌹 https://t.co/nExR7hGZE6",Dr. Malvika Iyer,MalvikaIyer,2022-04-29T12:26:34.000Z,Fri Apr 29 12:26:34 +0000 2022,148,29,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,1,photo,https://pbs.twimg.com/media/FRgvHg3X0Ag2QyT.jpg,,,
