Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,Unnamed: 16,Unnamed: 17,Unnamed: 18
1531257286756290561,"@vinayaravind @newslaundry I have been waiting for this. 

Fun read. 

🌻🌻",Priyangee প্রিয়াঙ্গী,PinguicVerse,2022-05-30T12:52:41.000Z,Mon May 30 12:52:41 +0000 2022,1,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,2,,,,,
1531257001069711360,"RT @vinayaravind : It's here, finally! My thoughts after using the iPhone 13 for a few weeks (for @newslaundry). Click through to find out if the iPhone has seduced this lifelong Android user over to the dark side, or not quite. And hit that RT button! #Cache22 

https://t.co/NOJPuYlFQi",Priyangee প্রিয়াঙ্গী,PinguicVerse,2022-05-30T12:51:33.000Z,Mon May 30 12:51:33 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://www.newslaundry.com/2022/05/30/a-lifelong-android-user-tries-out-the-iphone-13-is-it-tempting-enough-to-switch ,1,1,,,,,
1531245164576006144,"@suitcaseindian I understand.

Though marginally peeved (at the neighbours). 

But also glad they visit, and keep rats away.",Priyangee প্রিয়াঙ্গী,PinguicVerse,2022-05-30T12:04:31.000Z,Mon May 30 12:04:31 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,,,
1531244534268575746,@silverlightgal It is a must in my pantry :P,Priyangee প্রিয়াঙ্গী,PinguicVerse,2022-05-30T12:02:00.000Z,Mon May 30 12:02:00 +0000 2022,1,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,,,
1531225681996173312,"@suitcaseindian No, they are not related. 

They came in before we put bird feeders. 

The come because their owners don't care what they do outside the house. 🥺",Priyangee প্রিয়াঙ্গী,PinguicVerse,2022-05-30T10:47:06.000Z,Mon May 30 10:47:06 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,,,
1531224821618683905,"Very interesting thread on the cons of feeding birds. 

A lot to think about. https://t.co/V4Li8epY4X",Priyangee প্রিয়াঙ্গী,PinguicVerse,2022-05-30T10:43:40.000Z,Mon May 30 10:43:40 +0000 2022,1,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/penbumpu/status/1531048750818504704 ,0,0,,,,,
1531208311831404544,The autistic urge to use every nook and corner in the house as hiding spaces from sensory overload. https://t.co/4WuTizPehJ,Priyangee প্রিয়াঙ্গী,PinguicVerse,2022-05-30T09:38:04.000Z,Mon May 30 09:38:04 +0000 2022,4,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,animated_gif,https://video.twimg.com/tweet_video/FT_x1wcWYAItBrQ.mp4,,,
1531001543801163779,"This is the summary of how most of us had to recaliberate our goals after coming to terms with chronic condition - physical or mental. 

It comes with a healthy combination of grief and relief (and sometimes guilt) https://t.co/ixaHUFf4SG",Priyangee প্রিয়াঙ্গী,PinguicVerse,2022-05-29T19:56:27.000Z,Sun May 29 19:56:27 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/thesundaytimes/status/1530921612878520320 ,0,0,,,,,
1530963820390273025,"SOMEONE MAKE THIS LOGO FOR ME 

aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa https://t.co/AcXfXGKRAp",Priyangee প্রিয়াঙ্গী,PinguicVerse,2022-05-29T17:26:33.000Z,Sun May 29 17:26:33 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,animated_gif,https://video.twimg.com/tweet_video/FT8Teb4WQAIcxpK.mp4,,,
1530880848484093952,"RT @WiseDonkay : Your periodic reminder that Anxiety is not 'having useless thoughts because you have too much free time'. Anxiety at its worst feels like a curse where you have an elephant on your chest all day, and neither resting nor working calms you down",Priyangee প্রিয়াঙ্গী,PinguicVerse,2022-05-29T11:56:51.000Z,Sun May 29 11:56:51 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,,,,,
