Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs
1417107108709949440,@zeinalmaha94 Ouch! Thought I was the deaf one. Maybe a wack on his head with that lovely cane would've helped him ? 😅🤣,Shanice fernandes,ShaniceFern,2021-07-19T13:00:37.000Z,Mon Jul 19 13:00:37 +0000 2021,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,
1415409861555195904,"RT @zeinalmaha94 : Take a look at what my friend Shaniece (@ShaniceFern) wishes the #Abled #Bodied world knew about her disability! 

Video: https://t.co/G07AjwqXNt

#Disability #Deafness #Deaftwitter #HearingImpaired #DisabilityAwareness",Shanice fernandes,ShaniceFern,2021-07-14T20:36:22.000Z,Wed Jul 14 20:36:22 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://www.instagram.com/tv/CRUBIglltDW/?utm_medium=share_sheet ,7,1,,
1390334659863666695,@Stranger_Things @JonnyR95,Shanice fernandes,ShaniceFern,2021-05-06T15:56:28.000Z,Thu May 06 15:56:28 +0000 2021,1,0,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,2,,
1385592871450025986,@JonnyR95 K,Shanice fernandes,ShaniceFern,2021-04-23T13:54:18.000Z,Fri Apr 23 13:54:18 +0000 2021,0,0,und,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,
1385592825740414977,@ShopHonu These guys are great! Get a discount using my link:  https://t.co/onVpAlnK6k,Shanice fernandes,ShaniceFern,2021-04-23T13:54:07.000Z,Fri Apr 23 13:54:07 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://rwrd.io/k8uankf?t ,0,1,,
1365084718841147393,@zeinalmaha94 @UofGlasgow Thanks for sharing the video and helping me spread awareness zee 😘💛,Shanice fernandes,ShaniceFern,2021-02-25T23:42:13.000Z,Thu Feb 25 23:42:13 +0000 2021,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,2,,
1365083576316944384,Happy International cochlear implant day! 💛 https://t.co/W5XQFYCe1o,Shanice fernandes,ShaniceFern,2021-02-25T23:37:41.000Z,Thu Feb 25 23:37:41 +0000 2021,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://twitter.com/zeinalmaha94/status/1365082107790393349 ,0,0,,
1355590890593640448,You can call your mates over even when indoor social visits are illegal and all of you can even smoke in the kitchens and the reception won't care!😅😑 @Unite_Student,Shanice fernandes,ShaniceFern,2021-01-30T18:57:08.000Z,Sat Jan 30 18:57:08 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,
1355589964931747840,Anyone looking to stay at cheap property and get away with doing whatever they want during lockdown look at @Unite_Student 😂😢,Shanice fernandes,ShaniceFern,2021-01-30T18:53:27.000Z,Sat Jan 30 18:53:27 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,
1355589641806749697,@Unite_Student surprised how you don't do anything to tenets who break lockdown rules. 😢😥,Shanice fernandes,ShaniceFern,2021-01-30T18:52:10.000Z,Sat Jan 30 18:52:10 +0000 2021,0,1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,1,,
