Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,Unnamed: 16,Unnamed: 17,Unnamed: 18
1531069833995251712,@DrAkshataPrabhu The magnificent Queen,chrisR,christinaraj13,2022-05-30T00:27:48.000Z,Mon May 30 00:27:48 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1530390982101172224,@GHMansfield So true,chrisR,christinaraj13,2022-05-28T03:30:18.000Z,Sat May 28 03:30:18 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1530368926747852800,"@bigbasketblog Dear BB , Today a Big basket truck came into my apartment premises, it's so dirty outside,  when the delivery executive opened the door behind , it was even more dirty. Pls ensure hygiene for truck thst delivers food. It's basic mandate .@bigbasket_com",chrisR,christinaraj13,2022-05-28T02:02:39.000Z,Sat May 28 02:02:39 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,2,,,,,
1529279863823417344,"@GHMansfield I agree...I used to apologize a lot , not anymore",chrisR,christinaraj13,2022-05-25T01:55:06.000Z,Wed May 25 01:55:06 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1527481780072501248,@discommgoa @goadisability @CMogoa @SubhashGoa @tahahaaziq @ScpdDelhi @MSJE_AIC @MSJEGOI @GovindForGoa @PrakashWKamatPK @avelinodesa @RajVaidyaGoa This is a welcome change in our society. Thank you .,chrisR,christinaraj13,2022-05-20T02:50:10.000Z,Fri May 20 02:50:10 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,12,,,,,
1527443760774524929,@NPRD_IN @indSupremeCourt @drsitu @ncpedp_india @handicareindia @SNAMBURAJAN @Shampa_Sengupta @TARATDAC1 @AmbikaPanditTOI @thewire_in @newsclickin @IndianExpress Pls include rare genetic condition as severe Ichthyosis as well.,chrisR,christinaraj13,2022-05-20T00:19:05.000Z,Fri May 20 00:19:05 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,12,,,,,
1526553518634680321,#NewProfilePic https://t.co/pKTBGkjgng,chrisR,christinaraj13,2022-05-17T13:21:35.000Z,Tue May 17 13:21:35 +0000 2022,0,0,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FS9oVUDWIAE9tXk.jpg,,,
1526465131806588928,"@Paytmcare @RBI Dear Paytm , I has Rs 902 in paytm wallet , then suddenly it was blocked last week...now I dnt see the amount in my wallet..pls dnt trouble a physically challenged person, who is living on meagre savings. Where is the paytm customer care team. https://t.co/p9LqRZ47ZD",chrisR,christinaraj13,2022-05-17T07:30:22.000Z,Tue May 17 07:30:22 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://twitter.com/Hiteshparmar101/status/1521209150444687360 ,0,2,,,,,
1526091725529583617,"@drsitu @DrTedros @WHOdisability This is the reason, I hate to visit hospitals. Been there , seen that. From the reception, non medical ignorant staff should be trained on how to handle rare disease, genetic condition patients. We r alredy undr lot of stress, duress.",chrisR,christinaraj13,2022-05-16T06:46:35.000Z,Mon May 16 06:46:35 +0000 2022,3,1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,3,,,,,
1526084906388197376,"@Director_EVDM @CommissionrGHMC @ZC_Secunderabad @WHO @WHOSEARO Sir,Alliance house Apts,SD,secbad,  road,undrgrnd cellar has knee deep water, infested with rats,mosquitoes,59 flats,insensitive apt assn.Ignore plea of Harlequin ichthyosis &amp; epidermolysis bullosa affectd resident",chrisR,christinaraj13,2022-05-16T06:19:29.000Z,Mon May 16 06:19:29 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,5,,,,,
1525438056899022848,@DisabledEliza I agree...a local cop swamy made a remark that I am unemployed because of my disability.,chrisR,christinaraj13,2022-05-14T11:29:08.000Z,Sat May 14 11:29:08 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1525377491929485312,@DPO_United When i was elected as committee members..sreenivas adepu of proven advertising services in Hyderabad and his wife sujata adepu abused me saying what can a disabled woman do ? @kishanreddybjp @DRACofUT @CBM_Global,chrisR,christinaraj13,2022-05-14T07:28:28.000Z,Sat May 14 07:28:28 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,4,,,,,
1525350870451224577,Living on my savings . Sad reality the local govt officials...society all sponge more money from me . My apartment assn  took more money in cash to give me basic living amenities.. and they say humanity prevails...where is it? https://t.co/LnTfuYcpNG,chrisR,christinaraj13,2022-05-14T05:42:41.000Z,Sat May 14 05:42:41 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://twitter.com/DisabledAcadem/status/1525349269384925185 ,0,0,,,,,
1525108383983931393,"@HaryanaRpwd @Umesh_R_Anand @HDFCERGOGIC @abhealthin @socialpwds @DisabilityIndia @JoChopra @drsitu @vinodkapri @MoHFW_INDIA We severe  ichthyosis have been appealing to everyone  in Govt for help. How can a person walk with painful cuts, cracks and distorted limbs , we cannot hold pen , pencil,  cannot open lids,  covers dependent on others for own personal wrk https://t.co/Da23Vy8Wzp",chrisR,christinaraj13,2022-05-13T13:39:08.000Z,Fri May 13 13:39:08 +0000 2022,3,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,10,photo,https://pbs.twimg.com/media/FSpF_gEaAAATTs5.jpg,,,
1525102229652271104,@realpreityzinta Congratulations,chrisR,christinaraj13,2022-05-13T13:14:41.000Z,Fri May 13 13:14:41 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1525101642026143745,@tsrtcmdoffice MBS bus stop Hyderabad,chrisR,christinaraj13,2022-05-13T13:12:21.000Z,Fri May 13 13:12:21 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1524824454173339648,"@HaryanaRpwd @Umesh_R_Anand @HDFCERGOGIC @abhealthin @socialpwds @DisabilityIndia @JoChopra @drsitu @vinodkapri @MoHFW_INDIA Severe Ichthyosis isn't covered under any category  Sir. We are highly susceptible to overheating,  staph infection,  deep cuts , cracks,  fissures that requires constant medical attention.",chrisR,christinaraj13,2022-05-12T18:50:54.000Z,Thu May 12 18:50:54 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,10,,,,,
1524761554536722433,"@PMOIndia @BJP4India @MoHFW_INDIA Oldest survivorof Harlequin, Lamellar ichthyosis. I pay more everywhere n feel  burden to society, hence penalized fr living .None bother 2 update/learn abt rare genetic conditions. Local officials aren't sensitive either.Frustrating experience https://t.co/K7QayZcVKw",chrisR,christinaraj13,2022-05-12T14:40:57.000Z,Thu May 12 14:40:57 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://twitter.com/giftedPWDcentre/status/1524667874480214016 ,0,3,,,,,
