Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,Unnamed: 16,Unnamed: 17,Unnamed: 18
1324735523768967169,@joshimanasi11 @iPrateek5 @nipunmalhotra @Virali01 Yesss!!,Nishtha Dudeja,nishtha_dudeja,2020-11-06T15:28:55.000Z,Fri Nov 06 15:28:55 +0000 2020,0,0,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,4,,,,,
1324693575746031617,"It has been 6 months since the video was shared with the world! 🌸

@joshimanasi11 @iPrateek5 @nipunmalhotra @Virali01 https://t.co/dxB1lVoW8q",Nishtha Dudeja,nishtha_dudeja,2020-11-06T12:42:14.000Z,Fri Nov 06 12:42:14 +0000 2020,8,1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://twitter.com/joshimanasi11/status/1323982043638685696 ,0,4,,,,,
1324691597527642112,"@joshimanasi11 @iPrateek5 Yes, Manasi! Even after 6 months, it is still bringing a smile to my face! Thank you for resharing it and reminding us that it has been 6 months 🌸",Nishtha Dudeja,nishtha_dudeja,2020-11-06T12:34:23.000Z,Fri Nov 06 12:34:23 +0000 2020,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,2,,,,,
1305185469391466496,"@sanasrinivas Hi Mr Srinivas, I apologise for the late response. Can you tell me your mobile number in the message? I will forward it to someone in the company and he will guide you. Thanks.",Nishtha Dudeja,nishtha_dudeja,2020-09-13T16:43:59.000Z,Sun Sep 13 16:43:59 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1258376832002514944,"It's sad to hear about the #VizagGasLeak tragedy that happened today. Sincere sympathies to the individuals who lost their friends and family. Let's pray to god for the prosperity in Visakhapatnam.

#VizagGasTragedy #Visakhapatnam #Vizag",Nishtha Dudeja,nishtha_dudeja,2020-05-07T12:43:10.000Z,Thu May 07 12:43:10 +0000 2020,3,1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,4,0,,,,,
1257819662949085184,@jabbarkhanq143 @iPrateek5 @joshimanasi11 @nipunmalhotra @Virali01 Thank youu!!,Nishtha Dudeja,nishtha_dudeja,2020-05-05T23:49:11.000Z,Tue May 05 23:49:11 +0000 2020,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,5,,,,,
1257819515288604672,@GiraMehta @IndiatimesHindi Thank you :),Nishtha Dudeja,nishtha_dudeja,2020-05-05T23:48:36.000Z,Tue May 05 23:48:36 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,2,,,,,
1257295146426798080,"When India's differently-abled guys decided to have some fun💃🏻
@iPrateek5: FounderRampMyCity
@joshimanasi11: Int'l ParaBadminton Champion
@nishtha_dudeja: MissDeafAsia2018
@nipunmalhotra: FounderNipmanFoundation
Swarnalatha: FounderSwargaFoundation
@Virali01: MotivationalSpeaker https://t.co/JFkxkPscDu",Nishtha Dudeja,nishtha_dudeja,2020-05-04T13:04:56.000Z,Mon May 04 13:04:56 +0000 2020,68,8,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,5,video,https://video.twimg.com/ext_tw_video/1257294982035017729/pu/vid/720x1280/e0YpcM-Nx921b-E4.mp4?tag=10,,,
1252933629656719360,"""Save the planet"" is just an expression of arrogance. The planet was here before we arrive, and will kick us out if we don't respect it.

- Paulo Coelho

#WorldEarthDay #GreenPlanet #Planting #SaveEarth #Ecofriendly #Planet #Greener #GoGreen #SaveTrees https://t.co/2W68JmXZy5",Nishtha Dudeja,nishtha_dudeja,2020-04-22T12:13:50.000Z,Wed Apr 22 12:13:50 +0000 2020,7,4,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,9,0,video,https://video.twimg.com/ext_tw_video/1252933596714659840/pu/vid/800x600/H7sYUs-Ssm1ICvym.mp4?tag=10,,,
1241711769023737856,"Thanking doctors, cleaners and essential service providers by clapping 👏

We will win over this pandemic!

#CoronavirusPandemic #COVID19Outbreak #WeWillDefeatCorona #JantaCurfewMarch22 #ThankYouDoctors #Clapping https://t.co/wwxdZJ3HGr",Nishtha Dudeja,nishtha_dudeja,2020-03-22T13:02:10.000Z,Sun Mar 22 13:02:10 +0000 2020,6,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,6,0,video,https://video.twimg.com/ext_tw_video/1241711440198651904/pu/pl/Yod7tlwGFMkRBFFK.m3u8?tag=10,,,
1241011738352316416,"After fighting a long battle, justice has finally been served! 
The convicts are hanged. Thanks to Seema Kushwaha - the advocate of #Nirbhayacase who fought for it relentlessly and Asha Devi, who never took a step back even after facing huge challenges.
#NirbhayaJusticeDay",Nishtha Dudeja,nishtha_dudeja,2020-03-20T14:40:29.000Z,Fri Mar 20 14:40:29 +0000 2020,3,1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,2,0,,,,,
1237983757321162752,"""On the occasion of #InternationalWomensDay, Amar Ujala honored women and conferred them with awards. It was a pleasure to receive the award by Mrs. Asha Hooda. I would like to thank #AmarUjala for presenting me with this award. https://t.co/H4rp232FOC",Nishtha Dudeja,nishtha_dudeja,2020-03-12T06:08:23.000Z,Thu Mar 12 06:08:23 +0000 2020,4,2,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,2,0,photo,https://pbs.twimg.com/media/ES4zp9kUwAUhAAJ.jpg,,,
1236506057473572866,"“सशक्त नारी से ही बनेगा सशक्त समाज”

#InternationalWomensDay  के अवसर पर ""अमर उजाला"" के द्वारा महिला सशक्तिकरण के लिए कार्य करने वाली महिलाओं को सम्मानित करने के लिए अभिनन्दन।
 इस अवसर पर  सम्मानित होने वाली महिलाओं में मुझे शामिल करने के लिए अमर उजाला को अनेकों धन्यवाद । https://t.co/KJ77wLyvUr",Nishtha Dudeja,nishtha_dudeja,2020-03-08T04:16:31.000Z,Sun Mar 08 04:16:31 +0000 2020,3,0,hi,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/ESjzsCbUcAAfJKm.jpg,,,
1234760730248794115,"Don't let hearing loss limit you. Hearing for life. Happy World Hearing Day!🦻

#hearingloss #worldhearingday2020 #hearingaids 

@SigniaHearing @SivantosHearing https://t.co/p84pJ4DyYj",Nishtha Dudeja,nishtha_dudeja,2020-03-03T08:41:13.000Z,Tue Mar 03 08:41:13 +0000 2020,4,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,3,2,photo,https://pbs.twimg.com/media/ESK_4FEUwAIiNFb.jpg,,,
1230896303816626176,Published on 18th February 2020 ✨(4/4),Nishtha Dudeja,nishtha_dudeja,2020-02-21T16:45:22.000Z,Fri Feb 21 16:45:22 +0000 2020,1,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,0,,,,,
1230896301157412864,HTCity featured an article for World Day of Social Justice. Thank you @htcity for publishing article on those differently abled people on d whole page. It will surely inspire parents of differently abled children to never treat their children different and give up (3/4),Nishtha Dudeja,nishtha_dudeja,2020-02-21T16:45:21.000Z,Fri Feb 21 16:45:21 +0000 2020,1,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,,,
1230896298573721601,"I never accepted sympathy from people...maybe I would have got me some extra help, but that's not what I wanted. It could have made life easy, but I would have lost self-respect. What is life without struggles?"". (2/4)",Nishtha Dudeja,nishtha_dudeja,2020-02-21T16:45:21.000Z,Fri Feb 21 16:45:21 +0000 2020,1,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,0,,,,,
1230896295428018176,"""... I never thought of myself as disabled. I didn't talk much to people who pitied me... those who went out of their way to make me feel ""normal"". (1/4)

@htcity @htTweets @HindustanTimes https://t.co/CvTzcCTk32",Nishtha Dudeja,nishtha_dudeja,2020-02-21T16:45:20.000Z,Fri Feb 21 16:45:20 +0000 2020,3,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,3,photo,https://pbs.twimg.com/media/ERUEF28UcAIzm8f.jpg,,,
1230163039548100608,"@DuExpress Mujhe aisa bhi lag raha tha ki kyunki main pehle class me nahi bol payi thi, isliye college ne mujhe as speaker bulaya hai. Mujhse bulwa ke hi chhodenge college waale. 😉

I am so thankful to SVC for giving me the best three years of my life 💚

Date: 17th February 2020",Nishtha Dudeja,nishtha_dudeja,2020-02-19T16:11:38.000Z,Wed Feb 19 16:11:38 +0000 2020,2,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,,,
1230162840264171520,"@DuExpress I made presentation but couldn't present before the class. This Monday, I spoke at the college where I graduated. I am so humbled and thankful to the college for inviting me to speak.",Nishtha Dudeja,nishtha_dudeja,2020-02-19T16:10:51.000Z,Wed Feb 19 16:10:51 +0000 2020,1,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,,,
1230162610554695686,"When I was pursuing my graduation in commerce in this college, I was a little short on confidence in public speaking. Our economics professor noticed it &amp; he asked me to make the presentation &amp; present it before the class. I made presentation but couldn't present before the class https://t.co/cKSvomzYhN",Nishtha Dudeja,nishtha_dudeja,2020-02-19T16:09:56.000Z,Wed Feb 19 16:09:56 +0000 2020,6,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/ERJqWXmUUAE-ABS.jpg,https://pbs.twimg.com/media/ERJqWXoVUAAg1r3.jpg,https://pbs.twimg.com/media/ERJqWXsVUAIHsNT.jpg,https://pbs.twimg.com/media/ERJqWXrU4AAfRbA.jpg
1228283603819188224,"Daily routine makes a great impact. Here is a short clipping of @Salon_Intl in which I revealed some of my favorites whether it is my diet or fitness tips, makeup or skincare tips along with a short and helpful message for readers out there. https://t.co/kC0gfhlhwg",Nishtha Dudeja,nishtha_dudeja,2020-02-14T11:43:26.000Z,Fri Feb 14 11:43:26 +0000 2020,2,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,1,photo,https://pbs.twimg.com/media/EQu9axsUcAAD33E.jpg,,,
1227633362342252545,"Yesterday I was invited to Anchal Special School for d event of poster making on d theme of Swachchh Bharat by specially abled children. Thankyou Wheeling Happiness for inviting &amp; giving me a chance to meet the special children. I loved meeting amazing children 🌸

@DeepaAthlete https://t.co/zhTMITWIUP",Nishtha Dudeja,nishtha_dudeja,2020-02-12T16:39:36.000Z,Wed Feb 12 16:39:36 +0000 2020,5,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,1,photo,https://pbs.twimg.com/media/EQluBptUYAIVVhm.jpg,https://pbs.twimg.com/media/EQluBpvVUAA0oae.jpg,https://pbs.twimg.com/media/EQluBpwUYAAUI2f.jpg,https://pbs.twimg.com/media/EQluBpwU4AEv8SP.jpg
1225385922662764545,"Disability can pull you down, but it takes a lot of sacrifices and hard work to evolve from this idea to become synonymous with inspiration.

In a comprehensive interview with @IndiatimesHindi, I have shared my life journey.
https://t.co/Nl0ItPMfAQ",Nishtha Dudeja,nishtha_dudeja,2020-02-06T11:49:05.000Z,Thu Feb 06 11:49:05 +0000 2020,3,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://www.indiatimes.com/hindi/entertainment/celebrity-news/meet-nistha-dudeja-first-indian-to-win-miss-deaf-asia-title-505720.html?fbclid=IwAR1-_x71nZtKB8GrnFQ3M0aOF6JNfvBAwAZDXiuNtOu3ckncSAbaIeVWK_I ,0,1,,,,,
1218483523289378817,"And she is back in action! 💪

@MirzaSania https://t.co/wcmaaRjrZp",Nishtha Dudeja,nishtha_dudeja,2020-01-18T10:41:24.000Z,Sat Jan 18 10:41:24 +0000 2020,1,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/MirzaSania/status/1218475523979956224 ,0,1,,,,,
1202594899322793986,I truly appreciate kindness. I appreciate people checking up on me. I appreciate a quick message. I appreciate those who ask if I’m okay. I appreciate every single person in my life who has tried to brighten my days. It’s the little things that matter the most. #gratitude #peace https://t.co/aqUiLMs0Vj,Nishtha Dudeja,nishtha_dudeja,2019-12-05T14:25:41.000Z,Thu Dec 05 14:25:41 +0000 2019,4,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,2,0,photo,https://pbs.twimg.com/media/ELB5rl7UUAAPoiN.jpg,,,
1194275146380398592,"ਸਭਨਾਂ ਨੂੰ ਗੁਰਪੁਰਬ ਦੀਆਂ ਲੱਖ ਲੱਖ ਵਧਾਈਆਂ। Happy Gurpurab To Everyone 🙏 

#GuruNanakJayanti #GuruNanak550 https://t.co/jvbuOvcCli",Nishtha Dudeja,nishtha_dudeja,2019-11-12T15:25:58.000Z,Tue Nov 12 15:25:58 +0000 2019,1,0,und,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,2,0,photo,https://pbs.twimg.com/media/EJLq6MWUYAAhdCr.jpg,,,
