Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,Unnamed: 16,Unnamed: 17,Unnamed: 18
1529113940516651008,"It’s happening now, join us https://t.co/qoMfxwdWwQ",Nidhi Goyal,saysnidhigoyal,2022-05-24T14:55:47.000Z,Tue May 24 14:55:47 +0000 2022,3,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/RisingFlameNow/status/1529113558104936449 ,0,0,,,,,
1527329918886895626,Come and visit a fully accessible interactive media platform. Congratulations on this amazing effort @AJContrast https://t.co/O64NwaKCQu,Nidhi Goyal,saysnidhigoyal,2022-05-19T16:46:43.000Z,Thu May 19 16:46:43 +0000 2022,6,2,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/AJContrast/status/1527313762893500423 ,0,1,,,,,
1527288371596660736,"You are not too late to join the alt text party on global accessibility awareness day #GAAD  learn, practice, spread joy because #accessisjoy",Nidhi Goyal,saysnidhigoyal,2022-05-19T14:01:38.000Z,Thu May 19 14:01:38 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,2,0,,,,,
1527287190589685760,"@stressedpakoda @RisingFlameNow Great, could you describe the man and woman and also the bottle. The bottle intrigued me so would like to know more",Nidhi Goyal,saysnidhigoyal,2022-05-19T13:56:56.000Z,Thu May 19 13:56:56 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,
1527286896325701633,"@gopikabashi @RisingFlameNow @ThinkCREA @povmumbai @geetikamantri @lopes13_flavia @vinayaravind @parmeshs @gamla_nahi_vase @hirishitalkies @BehanBox Done very well, thank you",Nidhi Goyal,saysnidhigoyal,2022-05-19T13:55:46.000Z,Thu May 19 13:55:46 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,11,,,,,
1527286254668488704,@thecatlyf @RisingFlameNow @ThinkCREA @povmumbai @gopikabashi @geetikamantri @lopes13_flavia @vinayaravind @parmeshs @gamla_nahi_vase @hirishitalkies @BehanBox Pale pink heart! Love the description,Nidhi Goyal,saysnidhigoyal,2022-05-19T13:53:13.000Z,Thu May 19 13:53:13 +0000 2022,3,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,12,,,,,
1527285812622401537,A simple step makes a big difference in access and inclusion. Join us on this journey from today #accessisjoy https://t.co/YBWis9cCcM,Nidhi Goyal,saysnidhigoyal,2022-05-19T13:51:27.000Z,Thu May 19 13:51:27 +0000 2022,10,3,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/RisingFlameNow/status/1527192419241824256 ,1,0,,,,,
1503449952311476224,"RT @BehanBox : Inaccessibility makes women with #disabilities in public spaces vulnerable to abuse &amp; limits their participation in society, @saysnidhigoyal tells @lopes13_flavia. Read our story on how inaccessibility restricts critical choices for women with disabilities.https://t.co/UJr1gRJf3q",Nidhi Goyal,saysnidhigoyal,2022-03-14T19:16:16.000Z,Mon Mar 14 19:16:16 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://behanbox.com/2022/03/10/why-women-with-disabilities-have-to-constantly-negotiate-between-isolation-and-intrusion ,1,2,,,,,
1503449471124148224,"RT @SR_Disability : Today at the @UN_HRC annual debate, we highlighted the need to put #data into the service of rational policy-making to drive forward #disability inclusive equality &amp; the search for innovative solutions. My thanks to all panelists &amp; participants.",Nidhi Goyal,saysnidhigoyal,2022-03-14T19:14:21.000Z,Mon Mar 14 19:14:21 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,2,1,,,,,
1503380084467863553,"RT @SR_Disability : Today at @UN_HRC I emphasised the risks of discriminatory impact of #ArtificialIntelligence. If not addressed, persons w/#disabilities will be left even further behind. This is a tragedy we can't afford.
My report provides a path to avoid #AI's risks👇
https://t.co/2fiH7ePG5e https://t.co/ew85y6wsBH",Nidhi Goyal,saysnidhigoyal,2022-03-14T14:38:38.000Z,Mon Mar 14 14:38:38 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://bit.ly/3t2kYDf ,3,1,video,https://video.twimg.com/ext_tw_video/1503220403321270276/pu/vid/960x720/e1vzdBcO-R5cONQB.mp4?tag=12,,,
