Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,Unnamed: 16,Unnamed: 17,Unnamed: 18
1527385493251293185,"RT @TataTeleBiz : One of the most successful Indian mountain climbers, @sinha_arunima joins us at Milestone 2023 to talk about how to conquer the peak of success.

#TimeToDoBig #Milestones2023 #ScaleUp #FasterSimplerCloser #OneTeamOneVision https://t.co/eXPCW91mSU",Dr. Arunima Sinha,sinha_arunima,2022-05-19T20:27:33.000Z,Thu May 19 20:27:33 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,5,1,photo,https://pbs.twimg.com/media/FTG7vFTVEAAHAEj.jpg,,,
1520658256389021696,@elonmusk congratulations for twitter and  Hello sir kya aap can work on prosthetic limbs so that all disabled people can get a good limb and all can be self dependent. :),Dr. Arunima Sinha,sinha_arunima,2022-05-01T06:55:55.000Z,Sun May 01 06:55:55 +0000 2022,10,4,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,1,,,,,
1513875277302353922,"कोई और तुम्हारी मदद नहीं कर सकता अपनी मदद स्वयं करो आप ही खुद के सबसे अच्छे मित्र हैं और सबसे बड़े दुश्मन भी ।
जय हिन्द https://t.co/5xyfeaJoSk",Dr. Arunima Sinha,sinha_arunima,2022-04-12T13:42:47.000Z,Tue Apr 12 13:42:47 +0000 2022,72,2,hi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FQJdiUcaMAI611x.jpg,,,
1503065776860901376,"RT @AmritMahotsav : Ain't no mountain high enough...🗻🧗‍♀️

@sinha_arunima lost her leg when she got thrown off a moving train in 2011. But that did not deter her from becoming the 1st Indian female amputee to climb Mt. Everest in 2013.

#AmritMahotsav #NaariShakti #MainBharatHoon #DeshKiBeti https://t.co/G2ozV4o6wo",Dr. Arunima Sinha,sinha_arunima,2022-03-13T17:49:41.000Z,Sun Mar 13 17:49:41 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,4,1,photo,https://pbs.twimg.com/media/FNvLNK2aUAAi4Yq.jpg,,,
1500719673268006912,"कुछ बातों का जवाब रिकॉड बना के ही देना चाहिए क्योकि तब हम नही हमारा जुनून बोलता है और जब लक्ष्य जुनून बनता है 
तो वर्ल्ड रिकॉर्ड बनता है। 

जय हिन्द https://t.co/5lWynFANos",Dr. Arunima Sinha,sinha_arunima,2022-03-07T06:27:06.000Z,Mon Mar 07 06:27:06 +0000 2022,112,9,hi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FNOglVqVEAIp4hU.jpg,,,
1494166765051383813,"RT @UNinHindi : ""विकलांगजन को दया की नहीं, बल्कि समर्थन की ज़रूरत है.""

--  भारत की पूर्व वॉलीबॉल खिलाड़ी @sinha_arunima, जो विश्व के सबसे ऊँचे पर्वत शिखर, माउण्ट एवरेस्ट तक पहुँचने वाली पहली विकलांग महिला बनीं.

सुनें यूएन समाचार हिंदी के साथ उनकी विशेष बातचीत 🎧https://t.co/iqCoHuRhty",Dr. Arunima Sinha,sinha_arunima,2022-02-17T04:28:11.000Z,Thu Feb 17 04:28:11 +0000 2022,0,0,hi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://news.un.org/hi/audio/2021/12/1050332 ,0,1,,,,,
1483851479501148162,"Dear @ImranKhanPTI ji

I am a disabled mountaineer
I want to climb K2 mountain

But this mountain range of our country India is unauthorized capture by Pakistan,
please remove this unauthorized capture.

So that we disabled siblings of India can climb this Mountain.

Jai Hind https://t.co/uRnqZQ54Ot",Dr. Arunima Sinha,sinha_arunima,2022-01-19T17:18:55.000Z,Wed Jan 19 17:18:55 +0000 2022,63,15,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,1,photo,https://pbs.twimg.com/media/FJeyy11aUAMiWRS.jpg,https://pbs.twimg.com/media/FJeyo7UaAAAz6mg.jpg,,
1482756078580670465,"जब तकलीफे आपको नीचे गिराए और आप ऊपर उठते चले जाए तो समझ लीजिए की आप कुछ भी कर सकते है एक तरफ मौत तो दूसरी तरफ जिंदगी होती है ।जय हिन्दWhen troublesbring you down and youkeep on rising, thenunderstand that you can doanything,on one sidethere isdeath and on the other there is life https://t.co/XQVf4NdfHP",Dr. Arunima Sinha,sinha_arunima,2022-01-16T16:46:12.000Z,Sun Jan 16 16:46:12 +0000 2022,107,14,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FJPOylOaMAAKgZv.jpg,,,
1481101212241915911,"स्वामी विवेकानंद जी वृंदावन में थे
कुछ लाल मुंह के बंदर उनके पीछे पड़ गए
भागने पर बंदर भी तेजी से आक्रमण करते

किसी ने कहा
""भागो मत, डट कर मुकाबला करो""
वैसा ही किया और बंदर भाग गए

कठिनाइयां भी बंदरों की तरह होती हैं
सामना करने पर ही हल होती हैं।

#NationalYouthDay

Jai Hind 🇮🇳 https://t.co/acURs9P0Ud",Dr. Arunima Sinha,sinha_arunima,2022-01-12T03:10:21.000Z,Wed Jan 12 03:10:21 +0000 2022,58,11,hi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FI3tsxWacAMOFjP.jpg,https://pbs.twimg.com/media/FI3ts9bakAgaOf7.jpg,,
1478615407061655552,"Starting of New Year 2022

I honor to receive #UP_Ratan Samman by Dainik Jagran @inextlive in #Lucknow

Honoured to meet ""Paramveer Chakra"" Awardee Captain Yogendra Singh Yadav Ji

In dignified preference of Hon'ble Minister Smt @smritiirani Ji
Shri @brajeshpathakup Ji

Jai Hind https://t.co/aMdtT68sPI",Dr. Arunima Sinha,sinha_arunima,2022-01-05T06:32:39.000Z,Wed Jan 05 06:32:39 +0000 2022,50,6,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,2,3,photo,https://pbs.twimg.com/media/FIUY0B3VQAEjQP8.jpg,https://pbs.twimg.com/media/FIUY37vVIAI74OT.jpg,,
